diagnosis,Symptoms
Sturge-Weber Syndrome,"port-wine_stain_birthmark,seizures,intellectual_disability,glaucoma,paralysis_or_weakness_on_one_side"
Wiskott-Aldrich Syndrome,"easy_bruising,bleeding,recurrent_infections,eczema,reduced_platelet_count"
Xeroderma Pigmentosum,"extreme_sensitivity_to_uv_rays,severe_sunburns,skin_blisters,freckles,skin_cancer"
Sjogren-Larsson Syndrome,"dry_scaly_skin,intellectual_disability,speech_difficulties,seizures,spasticity"
Rothmund-Thomson Syndrome,"skin_abnormalities,sparse_hair,skeletal_abnormalities,dental_issues,cataracts"
Thalassemia,"fatigue,weakness,pale_or_yellowish_skin,facial_bone_deformities,slow_growth,abdominal_swelling,dark_urine"
Hypophosphatemia,"muscle_weakness,bone_pain,fractures,confusion,irritability"
Hyperphosphatemia,"itching,muscle_cramps,joint_pain,calcification_in_tissues"
Hypomagnesemia,"muscle_cramps,seizures,abnormal_heart_rhythms,personality_changes"
Hypermagnesemia,"nausea,vomiting,neurological_impairment,muscle_weakness,hypotension"
Hypocalcemia,"muscle_cramps,confusion,tingling_in_lips_and_fingers,seizures"
Hypercalcemia,"nausea,vomiting,constipation,abdominal_pain,increased_thirst_and_urination,confusion"
Hypokalemia,"weakness,fatigue,muscle_cramps,heart_palpitations,constipation"
Hyperkalemia,"nausea,fatigue,muscle_weakness,tingling_sensations,slow_or_irregular_heartbeats"
Hypochloremia,"dehydration,fluid_loss,weakness,difficulty_breathing"
Hyperchloremia,"fatigue,weakness,excessive_thirst,high_blood_pressure"
Glycogen Storage Disease,"low_blood_sugar,enlarged_liver,muscle_cramps,delayed_growth,fatigue"
Phenylketonuria (PKU),"intellectual_disability,delayed_development,behavioral_problems,psychiatric_disorders,musty_odor,skin_rashes"
Albinism,"lack_of_pigment_in_the_skin_hair_and_eyes,vision_problems,increased_risk_of_skin_cancer"
Color Blindness,"difficulty_distinguishing_between_colors,inability_to_see_shades_or_tones"
Hemophilia,"excessive_bleeding,frequent_nosebleeds,joint_pain_and_swelling,blood_in_urine_or_stool"
Leukodystrophy,"progressive_loss_of_motor_skills,muscle_stiffness,seizures,developmental_delays"
Alzheimer's Disease,"memory_loss,confusion,difficulty_with_language,mood_swings,behavioral_changes"
Parkinson's Disease,"tremors,slowed_movement,muscle_stiffness,impaired_balance,changes_in_speech"
Multiple System Atrophy (MSA),"muscle_rigidity,tremors,poor_balance,urinary_incontinence,blood_pressure_issues"
Progressive Supranuclear Palsy (PSP),"loss_of_balance,muscle_stiffness,difficulty_moving_the_eyes,speech_and_swallowing_difficulties"
Creutzfeldt-Jakob Disease,"rapid_mental_deterioration,muscle_stiffness,twitching,difficulty_speaking,visual_disturbances"
Acanthosis Nigricans,"dark_thickened_patches_of_skin,often_in_body_folds"
Acromegaly,"enlarged_hands_and_feet,facial_changes,joint_pain,thickened_skin,vision_problems"
Addisonian Crisis,"severe_pain,vomiting,diarrhea,low_blood_pressure,loss_of_consciousness"
Adult Still's Disease,"high_fevers,joint_pain,salmon-colored_bumpy_rash,sore_throat,muscle_pain"
Agnosia,"inability_to_recognize_objects_people_sounds_shapes_or_smells"
Alopecia Areata,"sudden_hair_loss_in_round_patches_on_the_scalp"
Aortic Aneurysm,"sudden_intense_back_or_abdominal_pain,low_blood_pressure,loss_of_consciousness"
Appendicitis,"pain_around_the_navel_that_shifts_to_the_lower_right_abdomen,nausea,vomiting,loss_of_appetite,fever"
Aphasia,"difficulty_speaking,difficulty_understanding_language,difficulty_reading_or_writing"
Aplastic Anemia,"fatigue,shortness_of_breath,rapid_or_irregular_heartbeat,pale_skin,frequent_infections"
Arrhythmias,"palpitations,shortness_of_breath,chest_pain,dizziness,fainting"
Arteriosclerosis,"chest_pain,leg_pain,numbness,difficulty_speaking,vision_loss"
Asperger's Syndrome,"difficulty_with_social_interactions,restricted_interests,desire_for_sameness,delayed_motor_skills"
Asphyxia,"difficulty_breathing,cyanosis,confusion,unconsciousness"
Barrett's Esophagus,"frequent_heartburn,difficulty_swallowing,chest_pain,chronic_cough,hoarseness"
Biliary Atresia,"yellowing_of_the_skin_and_eyes,dark_urine,pale_stools,poor_weight_gain,irritability"
Brugada Syndrome,"fainting,irregular_heartbeats,sudden_cardiac_arrest"
Carcinoid Syndrome,"flushing_of_the_skin,diarrhea,difficulty_breathing,rapid_heartbeat"
Carpal Tunnel Syndrome,"numbness,tingling,pain_in_the_hand_and_arm,weakness_in_the_hand"
Celiac Disease,"diarrhea,fatigue,weight_loss,bloating,gas,abdominal_pain,nausea,vomiting,constipation"
Cervical Spondylosis,"neck_pain_and_stiffness,headache,pain_in_the_shoulders_and_arms,muscle_weakness,tingling_in_the_arms_and_fingers"
Chondrocalcinosis (Pseudogout),"sudden_severe_joint_pain,swelling,redness,warmth_in_affected_joints"
Chronic Fatigue Syndrome (CFS),"severe_fatigue,sleep_problems,difficulty_with_concentration_and_memory,muscle_and_joint_pain,headaches,sore_throat,swollen_lymph_nodes"
Chronic Obstructive Pulmonary Disease (COPD),"shortness_of_breath,wheezing,chest_tightness,chronic_cough,frequent_respiratory_infections,fatigue,blueness_of_lips_or_fingernail_beds"
Cirrhosis,"fatigue,easily_bleeding_or_bruising,loss_of_appetite,nausea,swelling_in_the_legs_feet_or_ankles,weight_loss,itchy_skin,jaundice"
Cluster Headache,"severe_burning_and_piercing_pain_around_one_eye,swelling_around_the_affected_eye,redness_in_the_eye,stuffy_or_runny_nose"
Congenital Adrenal Hyperplasia,"ambiguous_genitalia,early_signs_of_puberty,rapid_growth_in_childhood_but_shorter_than_average_final_height,severe_acne,infertility"
Costochondritis,"sharp_aching_or_pressure_like_chest_pain,pain_when_taking_a_deep_breath_or_coughing,tenderness_when_pressing_on_the_chest"
Creutzfeldt-Jakob Disease (CJD),"rapid_mental_deterioration,personality_changes,memory_problems,blurred_vision,difficulty_speaking,difficulty_swallowing,muscle_stiffness"
Cushing's Syndrome,"weight_gain,pink_or_purple_stretch_marks,thinning_skin,easy_bruising,acne,fatigue,muscle_weakness,high_blood_pressure,bone_loss,diabetes"
Cystic Fibrosis (CF),"persistent_cough_with_thick_mucus,wheezing,breathlessness,repeated_lung_infections,sinusitis,poor_growth,weight_gain_despite_good_appetite,frequent_greasy_bulky_stools"
Deep Vein Thrombosis (DVT),"swelling_in_one_leg,pain_or_tenderness_in_one_leg,warm_skin_on_the_affected_leg,red_or_discolored_skin_on_the_leg,visible_veins"
Degenerative Disc Disease,"pain_in_the_lower_back_buttocks_or_thighs,pain_that_worsens_with_sitting_lifting_bending_or_twisting,pain_that_gets_better_with_walking_and_moving"
Diabetes Insipidus,"extreme_thirst,producing_large_amounts_of_diluted_urine,frequent_urination,dehydration,fatigue"
Diabetic Ketoacidosis (DKA),"excessive_thirst,frequent_urination,nausea_and_vomiting,abdominal_pain,weakness_or_fatigue,shortness_of_breath,fruity_scented_breath,confusion"
Diverticulitis,"persistent_pain,often_in_the_lower_left_side_of_the_abdomen,nausea_and_vomiting,fever,abdominal_tenderness,constipation,diarrhea"
Dysautonomia,"lightheadedness,fainting,unstable_blood_pressure,abnormal_heart_rates,malnutrition"
Ehlers-Danlos Syndrome (EDS),"hypermobile_joints,stretchy_skin,fragile_skin_that_bruises_easily,chronic_pain,scoliosis,early_onset_arthritis"
Epilepsy,"seizures,loss_of_awareness,staring_spells,temporary_confusion,unusual_sensations_or_behaviors,muscle_stiffness,sudden_jerking_movements"
Esophageal Varices,"vomiting_blood,black_tarry_or_bloody_stools,lightheadedness,loss_of_consciousness"
Fibromyalgia,"widespread_musculoskeletal_pain,fatigue,sleep_disturbances,headaches,cognitive_difficulties,irritable_bowel_syndrome,anxiety,depression"
Frozen Shoulder,"pain_in_the_shoulder,stiffness,decreased_range_of_motion"
Gastroparesis,"nausea,vomiting,feeling_full_after_eating_a_small_amount,bloating,abdominal_pain,weight_loss,malnutrition"
Glaucoma,"severe_eye_pain,nausea_and_vomiting,headache,sudden_onset_of_visual_disturbance,blurred_vision,halos_around_lights,eye_redness"
Graves' Disease,"anxiety_and_irritability,tremor_of_hands_or_fingers,heat_sensitivity,weight_loss,enlarged_thyroid,bulging_eyes,fatigue,thick_red_skin_on_the_shins_or_tops_of_the_feet"
Guillain-Barre Syndrome,"weakness_and_tingling_in_extremities,unsteady_walking,difficulty_with_facial_movements,double_vision,difficulty_speaking,difficulty_breathing,severe_pain"
Gum Disease (Periodontitis),"swollen_puffy_gums,bright_red_dusky_red_or_purplish_gums,tender_gums,bleeding_gums,bad_breath,pus_between_your_teeth_and_gums,loose_teeth,painful_chewing"
Hemochromatosis,"joint_pain,fatigue,weakness,diabetes,loss_of_sex_drive,impotence,heart_failure,liver_failure,bronze_or_gray_skin_color"
Hepatitis ,"fatigue,sudden_nausea_and_vomiting,abdominal_pain,clay-colored_bowel_movements,loss_of_appetite,low-grade_fever,dark_urine,joint_pain,jaundice"
Hereditary Angioedema,"swelling_of_hands_feet_face_airway_and_intestinal_tract,severe_abdominal_pain,vomiting,diarrhea,difficulty_breathing"
Hidradenitis Suppurativa,"blackheads,painful_lumps,tunnels_connecting_lumps"
Hirschsprung's Disease,"failure_to_pass_stool_within_the_first_few_days_of_life,swollen_belly,vomiting,constipation_or_gas,diarrhea"
Hyperemesis Gravidarum,"severe_nausea_and_vomiting,dehydration,electrolyte_imbalances,weight_loss,lightheadedness"
Idiopathic Pulmonary Fibrosis,"shortness_of_breath,chronic_dry_cough,fatigue,unexplained_weight_loss,aching_muscles_and_joints,clubbing_of_fingers_or_toes"
Interstitial Cystitis (Painful Bladder Syndrome),"chronic_pelvic_pain,a_persistent_urgent_need_to_urinate,frequent_urination,pain_during_intercourse"
Irritable Bowel Syndrome (IBS),"abdominal_pain,cramping,bloating,gas,diarrhea,constipation,mucus_in_stool"
Kawasaki Disease,"high_fever,rash,swollen_hands_and_feet,redness_in_eyes,swollen_lymph_nodes,inflammation_of_blood_vessels,irritability"
Klinefelter Syndrome,"low_testosterone,reduced_muscle_mass,reduced_facial_and_body_hair,enlarged_breast_tissue,tall_stature,learning_disabilities,delayed_speech_and_language_development"
Meniere's Disease,"vertigo,hearing_loss,tinnitus,feeling_of_fullness_in_the_ear"
Mesenteric Ischemia,"severe_abdominal_pain,vomiting,diarrhea,fever,rapid_heartbeat,blood_in_stool"
Myasthenia Gravis,"muscle_weakness,drooping_of_one_or_both_eyelids,double_vision,difficulty_swallowing,shortness_of_breath,altered_speech,facial_muscle_weakness"
Myelodysplastic Syndromes (MDS),"fatigue,shortness_of_breath"
